./output_stat/69040/69040_100_10.0.data : 
SNIC : k :100 m :10 psnr :19.3731 SizeCompressed : 53428 Recall :0.336772
SLIC : k :100 m :10 psnr :26.0893 SizeCompressed : 81708 Recall :0.843906
WATERPIXEL : k :100 m :10 psnr :19.6746 SizeCompressed : 50579 Recall :0.293708
./output_stat/69040/69040_100_0.5.data : 
SNIC : k :100 m :0.5 psnr :19.8218 SizeCompressed : 54426 Recall :0.327832
SLIC : k :100 m :0.5 psnr :27.7314 SizeCompressed : 102070 Recall :0.942926
WATERPIXEL : k :100 m :0.5 psnr :19.4672 SizeCompressed : 52353 Recall :0.253051
./output_stat/69040/69040_15000_4.0.data : 
SNIC : k :15000 m :4 psnr :28.68 SizeCompressed : 225665 Recall :0.999914
SLIC : k :15000 m :4 psnr :33.5639 SizeCompressed : 249156 Recall :1
WATERPIXEL : k :15000 m :4 psnr :23.7068 SizeCompressed : 144148 Recall :0.991233
./output_stat/69040/69040_100_8.0.data : 
SNIC : k :100 m :8 psnr :19.6032 SizeCompressed : 53789 Recall :0.335052
SLIC : k :100 m :8 psnr :26.5386 SizeCompressed : 85158 Recall :0.866512
WATERPIXEL : k :100 m :8 psnr :19.7253 SizeCompressed : 50858 Recall :0.293106
./output_stat/69040/69040_5000_0.5.data : 
SNIC : k :5000 m :0.5 psnr :25.3748 SizeCompressed : 134726 Recall :0.96983
SLIC : k :5000 m :0.5 psnr :31.9351 SizeCompressed : 182742 Recall :0.996132
WATERPIXEL : k :5000 m :0.5 psnr :22.5216 SizeCompressed : 89765 Recall :0.893674
./output_stat/69040/69040_15000_1.0.data : 
SNIC : k :15000 m :1 psnr :28.7348 SizeCompressed : 229204 Recall :0.999828
SLIC : k :15000 m :1 psnr :34.5492 SizeCompressed : 264044 Recall :1
WATERPIXEL : k :15000 m :1 psnr :23.2599 SizeCompressed : 155563 Recall :0.985817
./output_stat/69040/69040_5000_8.0.data : 
SNIC : k :5000 m :8 psnr :25.1387 SizeCompressed : 130244 Recall :0.974128
SLIC : k :5000 m :8 psnr :29.8923 SizeCompressed : 150290 Recall :0.990201
WATERPIXEL : k :5000 m :8 psnr :22.7668 SizeCompressed : 81955 Recall :0.900894
./output_stat/69040/69040_500_0.5.data : 
SNIC : k :500 m :0.5 psnr :21.0641 SizeCompressed : 69968 Recall :0.640708
